id,text,coding,sentiment
"""1465718630549708808""","The controversial trending question;  Do the unvaccinated people pose a threat to the vaccinated? If yes, how? The answer is yes, they pose a threat to everyone. But no, not because if they catch COVID they're anymore infectious than the vaccinated, they r not.",,
"""1465718632663687171""",@sajidjavid we don't need to know more about Omicron to mandate masks in all crowded indoor spaces where Covid thrives - pubs bars restaurants theatres etc.,,
"""1465718632684482560""",US consumer confidence falls in November as inflation bites | Coronavirus pandemic News - https://t.co/T40FPkjMzE#breakingnews #news #newsdesk #newsline,,
"""1465718631933874176""",New COVID restrictions cant be 10 in a closed space without the COVID pass ok so cant hang out with my whole extended family but can sit in a bus with 100 strangers? Cool,,
"""1465718630918893568""",Where is my right. never force people to get vaccine.... https://t.co/bojHrJ8Ba9,,
"""1465718637608665093""",Bidens Bumbling COVID Policy https://t.co/M8KI7YX5oM,,
"""1465718636665004033""","Thank you God for allowing me to go through this wild ass pandemic not catching covid not even once! Im so grateful, words cant even fathom!  Those long term side effects are so crazy!",,
"""1465718638120480768""",Corona Shantae Davirus: a name for covid created by my boss,,
"""1465718638309224452""",#GetVaccinatedNow and #MaskUp. #COVID19 hospitalizations are up 57 percent in Ohio. Follow the science to protect yourself and others. https://t.co/f6dUzmWij7,,
"""1465718641287221249""","Question for you vaccinated people....they are saying the vaccine is not effective against Omicron, what will you do now?  Put a whole new vaccine in your bodies?",,
"""1465718643254247429""",Latest on the steps to counter #Omicronhttps://t.co/DoqYzQDPmi,,
"""1465718644327993349""",A new report is giving us a better sense of just how devastating the COVID-19 pandemic has been for Canadians. https://t.co/bEj8iaPRBg https://t.co/iNskwxgYwo,,
"""1465718644713869318"""," New cases: 784 Deaths: 3 COVID shots (5-11): 11,078 https://t.co/siGRjDpjqr",,
"""1465718646139932680""",https://t.co/YM893KqkqcCOVID-19: PM says plan is to offer booster jabs to everyone eligible by end of January to deal with new Omicron variant https://t.co/0MnJTL8yt9,,
"""1465718644948623365""","#Americans Remember Biden said Nobody should still be President with 220k Covid deaths. Well he now has over 350k Covid Death with 3 Vaccines at his disposal while in Office, Should He Still Be In Office??? They talk this way to Fool and Scare You! https://t.co/e7DOkW2KNs",,
"""1465718646261563401""","Along with all other licenced hospitality venues across Northern Ireland, we are now legally obliged to carry out COVID status checks for all guests arriving to attend a wedding / event on site. Please refer to the image below to check the valid options for proof of status: https://t.co/uQAaY60XW5",,
"""1465718646332743687""",Mangaluru: MCC issues fresh guidelines to curb Covid third wave fearRead here:  https://t.co/1vfzcOy6MX,,
"""1465718651022102532""","Has anyone asked why - if it's a matter of life or death - how vaccine mandate deadlines can be so flexible?It's almost like it doesn't matter when people get them, even though 'lives hang in the balance'.What a sick joke this whole thing is.https://t.co/PLZGeKFy6C",,
"""1465718649671589892""","Am I the only who checks on funeral policies and policies nje, whenever theres a surge of Covid numbers? Yey we live in this tough times also stocked again for meds and vitamins...",,
"""1465718653236744202""",covid has the world in a chokehold rn and its funny as fuck,,
"""1465718656671924224""",'This is not going to be good': Moderna CEO Bancel warns of a 'material drop' in vaccine efficacy as Omicron spreads - https://t.co/XxIVPE1DXi,,
"""1465718655539458048""","Lots of yummy pizzas for our level 6 students to celebrate them reaching this point in their university journey, despite all of the issues and difficulties that Covid has caused. We are so proud of you all! @wlv_education @sendis_wlv @WLV_ECS @YPFC_WLV #webackyou https://t.co/F9s5fc7sV4",,
"""1465718652985036805""",crying in covid testing line while listening to the winner takes it all,,
"""1465718660761219072""","1975 Moms to kids.If you finish your homework, deliver your newspapers and bring in a load of firewood, you can go play hockey on the pond with your friends. 2021 Moms to kidsIf you get a vaccine, WE can go on a vacation.",,
"""1465718662023704577""",Investors are moving their money into commercial real estate following the effects of the COVID-19 pandemic. Stroock partner Loryn Arkow discusses the benefits of using off-market transactions in an article by @GlobeStcom https://t.co/QkY7Jiysvy#Stroock #CommericalRealEstate,,
"""1465718660136382470""",@BorisJohnson My booster was due on the 28th but the booking system had stopped working and today my doctor couldn't find me on the system. That has impacted their ability to vaccinate people and results in wasted vaccine.,,
"""1465718661503754240""",just got my booster vaccine now i can act insane and say its a side effect,,
"""1465718663303073792""","I'm so sick of this #COVID19 #Omicron #B11529 #coronavirus shit. @GVDBossche predicted this for months! The @WHO DID NOT LISTEN! Governments &amp; establishment scientists didn't listen! Other views were cancelled, those questioning mass vaccinations were #antivaxxers &amp; #FarRight",,
"""1465718638875488256""",#impfung #covid19 .... whats going on in #ireland ? 90 percent vaccinated and 122 people in icu. last year on 30.11. there have been 30 cases in critical condition. no signs of any herd-immunity and no serious explanations about the reasons. https://t.co/AUnweQi6wO,,
"""1465718663768596492""",just got a covid test mmm it hurt so bad mmmm ,,
"""1465718669439381505""",Confirmed cases of Omicron variant of coronavirus:- South Africa- Botswana- UK- Netherlands- Germany- Hong Kong- Italy- Belgium- Israel- Denmark- Austria- Czech Republic- Australia- Canada- Portugal- Spain- Sweden- Japan,,
"""1465718668994748418""",@BorisJohnson @10DowningStreet #Covid19UK #BreakingNews #COVID19  Not the greatest response... But I see someone's selling a used Parachute  @TheSun @dailystar @MetroUK @DailyMailUK @DailyMirror @GMB @itvmeridian @bbcsoutheast https://t.co/P2VHVbVxi0,,
